X,Y,Price,Square_Feet,Address,Date_Sold
-112.608364,34.435552,"$15,000","750","8310 W Framingham Rd, Kirkland, AZ 86332",9/26/2022
-112.463954,34.916326,"$35,000","1,200","401 E Alpine Dr, Paulden, AZ 86334",8/29/2022
-112.29403,34.606836,"$40,000","1,408","9780 E Juniper Cir, Prescott Valley, AZ 86314",11/15/2022
-112.097961,34.312547,"$40,000","1,275","20823 E Concho Ln, Mayer, AZ 86333",11/16/2022
-112.68267,34.513338,"$52,500","2,757","2410 S Peavine Rd, Skull Valley, AZ 86338",8/22/2022
-111.793349,34.518348,"$56,000","1,710","3492 E Clinton Ln, Camp Verde, AZ 86322",2/2/2023
-112.87886,35.331883,"$60,000","552","54430 N 3rd Ave, Seligman, AZ 86337",1/28/2023
-112.014988,34.742786,"$61,500","1,056","400 N 11th St, Cottonwood, AZ 86326",11/8/2022
-111.904566,34.691867,"$63,987","745","11146 E Olson Cir, Cornville, AZ 86325",12/23/2022
-112.052356,34.747033,"$68,771","1,630","531 Shadow Canyon Dr, Clarkdale, AZ 86324",8/18/2022
-112.743758,34.22531,"$70,000","1,341","22367 S State Route 69, Yarnell, AZ 85362",8/18/2022
-112.939752,35.32232,"$74,500","814","22555 W Highway Rd, Seligman, AZ 86337",10/7/2022
-112.346331,34.207597,"$85,000","543","23547 S Sunny South Rd, Crown King, AZ 86343",12/16/2022
-112.237726,34.50315,"$85,000","898","2715 S Hecla St, Humboldt, AZ 86327",1/12/2023
-112.346572,34.211988,"$85,000","543","20507 S Sunny South Rd, Crown King, AZ 86343",12/16/2022
-112.596271,34.766564,"$87,000","480","15285 N Hootennanny Rd, Prescott, AZ 86305",9/30/2022
-111.992375,34.729299,"$95,000","4,975","560 S Yorba Ln, Cottonwood, AZ 86326",11/30/2022
-112.01685,34.736108,"$100,000","1,296","1001 E Aspen Pl, Cottonwood, AZ 86326",10/11/2022
-112.623918,34.80978,"$100,000","1,804","18250 N Lower Territory Rd, Prescott, AZ 86305",12/8/2022
-111.849849,34.564023,"$105,000","1,144","255 E Hollamon St, Camp Verde, AZ 86322",12/12/2022
-112.877174,35.329922,"$110,000","834","54300 N Beach Ave, Seligman, AZ 86337",9/9/2022
-112.124229,34.076861,"$115,000","1,548","20520 E Emerald Dr, Black Canyon City, AZ 85324",9/2/2022
-112.294216,34.51481,"$120,000","1,280","9930 E Shirley Ln, Dewey, AZ 86327",9/22/2022
-113.136724,35.32004,"$120,000","400","53555 N Markham Pass, Seligman, AZ 86337",10/13/2022
-111.981383,34.698955,"$120,838","2,200","2260 S Roundup Trl, Cottonwood, AZ 86326",11/30/2022
-112.602827,35.139289,"$122,000","570","7501 W Cathedral Valley Rd, Ash Fork, AZ 86320",9/29/2022
-112.75112,34.2235,"$124,000","815","22492 S Oak Way, Yarnell, AZ 85362",12/9/2022
-112.430229,34.7589,"$124,000","648","1930 Little Doggie Draw, Chino Valley, AZ 86323",10/28/2022
-111.879612,34.608139,"$125,000","1,700","1581 W Horseshoe Bend Dr, Camp Verde, AZ 86322",9/27/2022
-111.857487,34.564692,"$125,000","935","325 S 4th St, Camp Verde, AZ 86322",11/18/2022
-112.238811,34.397022,"$125,000","614","10130 S Wicks Ave, Mayer, AZ 86333",11/22/2022
-112.828926,34.103493,"$129,600","396","21280 W Trading Post Trl, Congress, AZ 85332",1/18/2023
-111.873324,34.563783,"$130,000","1,056","1100 W Relo Ln, Camp Verde, AZ 86322",8/30/2022
-111.907465,34.686253,"$130,000","770","2950 S Candler Dr, Cornville, AZ 86325",10/27/2022
-112.466798,35.12381,"$139,077","872","89 Janet Ln, Ash Fork, AZ 86320",8/25/2022
-112.750279,34.223273,"$150,000","963","22508 S Luna Way, Yarnell, AZ 85362",11/16/2022
-112.518852,35.133528,"$150,000","700","0 W Ranch Rd, Ash Fork, AZ 86320",10/21/2022
-112.356889,34.581867,"$160,000","1,488","2700 N Prescott E Hwy, Prescott Valley, AZ 86314",12/8/2022
-112.146258,34.074894,"$165,000","1,737","19250 E Indian Hills Dr, Black Canyon City, AZ 85324",9/15/2022
-112.226584,34.389088,"$167,000","864","10736 Cholla Dr, Mayer, AZ 86333",11/14/2022
-112.748568,34.219562,"$175,000","961","22763 S State Route 89, Yarnell, AZ 85362",9/26/2022
-112.588333,34.437312,"$175,000","1,233","7020 W Wexford Dr, Kirkland, AZ 86332",12/12/2022
-112.845114,34.154793,"$175,000","1,370","27220 S Santa Fe Rd, Congress, AZ 85332",12/8/2022
-111.986611,34.690312,"$180,000","840","3661 E Western Dr, Cottonwood, AZ 86326",12/14/2022
-113.051344,35.362764,"$180,000","1,050","56400 Shadow Mountain Pkwy, Seligman, AZ 86337",9/2/2022
-113.051344,35.362764,"$180,000","1,050","56400 N Shadow Mountain Pkwy, Seligman, AZ 86337",9/2/2022
-112.105879,34.304903,"$183,000","976","20312 E Antelope Rd, Mayer, AZ 86333",10/21/2022
-112.466701,34.902252,"$184,000","1,900","425 E Grand Canyon Rd, Chino Valley, AZ 86334",9/30/2022
-112.597773,34.423488,"$185,000","800","7735 W Wicklow Ln, Kirkland, AZ 86332",2/1/2023
-111.892677,34.6055,"$190,000","2,104","2468 N La Grande Dr E, Camp Verde, AZ 86322",9/1/2022
-111.76726,34.643848,"$190,000","1,243","4730 E Chipmunk Holw, Rimrock, AZ 86335",1/17/2023
-112.503556,35.145525,"$190,000","412","41500 N Foxy Way, Ash Fork, AZ 86320",12/2/2022
-112.061027,34.771033,"$195,000","775","1116 Main St, Clarkdale, AZ 86324",2/9/2023
-111.988823,34.68975,"$195,000","1,223","3481 E Western Dr, Cottonwood, AZ 86326",11/18/2022
-112.35306,34.589892,"$199,000","1,220","3201 N Date Creek Dr, Prescott Valley, AZ 86314",1/26/2023
-112.116311,34.315759,"$199,000","816","19664 E Ironwood Dr, Mayer, AZ 86333",11/3/2022
-112.482522,34.572145,"$200,000","1,126","1722 Willow Creek Rd, Prescott, AZ 86301",11/21/2022
-112.512985,34.78083,"$201,000","426","2400 N Aztec Pl, Chino Valley, AZ 86323",9/2/2022
-112.478349,34.57103,"$203,000","1,048","716 W Rosser St, Prescott, AZ 86301",1/9/2023
-111.973977,34.70134,"$205,000","1,616","4888 E Horseshoe Ln, Cottonwood, AZ 86326",9/19/2022
-112.25299,34.555291,"$209,000","1,279","877 Mountain Brush Dr, Dewey, AZ 86327",10/10/2022
-113.046865,35.335507,"$209,000","1,186","54505 Castano Rd, Seligman, AZ 86337",10/3/2022
-111.916175,34.722805,"$210,000","1,248","10075 E Dees Ln, Cornville, AZ 86325",1/17/2023
-112.565833,34.560278,"$215,000","629","1337 N Skyline Dr, Prescott, AZ 86305",11/23/2022
-112.33056,34.635877,"$217,000","1,128","6500 N Warbonnet Dr, Prescott Valley, AZ 86314",11/30/2022
-112.46725,34.572857,"$220,000","1,476","371 Dogwood Ln, Prescott, AZ 86301",9/23/2022
-112.501298,34.86014,"$220,000","1,764","1975 W Rolling Hills Rd, Paulden, AZ 86334",1/13/2023
